,Organization Name,Organization Name URL,Transaction Name,Transaction Name URL,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Funding Type,Organization Industries,Announced Date,Lead Investors,Investor Names,Funding Stage,Money Raised,Money Raised Currency,Money Raised (in USD),Pre-Money Valuation,Pre-Money Valuation Currency,Pre-Money Valuation (in USD),Equity Only Funding,Organization Description,Diversity Spotlight (US Headquarters Only),Organization Website,Organization Revenue Range,Funding Status,Number of Funding Rounds,Organization Location
6304,Cobli,https://www.crunchbase.com/organization/cobli,Series B - Cobli,https://www.crunchbase.com/funding_round/cobli-series-b--68ae0a6d,65000000.0,USD,65000000.0,Series B,"Artificial Intelligence (AI), Automotive, Fleet Management, Information Technology, Logistics, Software",2023-07-12,International Finance Corporation,"International Finance Corporation, Scale-Up Ventures",Early Stage Venture,20000000.0,USD,20000000.0,,,,Yes,Cobli is the FleetTech that simplifies and improves fleet management.,,http://www.cobli.co/,$50M to $100M,Early Stage Venture,7,"São Paulo, Sao Paulo, Brazil, South America"
6305,Teachy,https://www.crunchbase.com/organization/teachy-18f1,Pre Seed Round - Teachy,https://www.crunchbase.com/funding_round/teachy-18f1-pre-seed--1752991d,1600000.0,USD,1600000.0,Pre-Seed,"Artificial Intelligence (AI), EdTech, Education",2023-07-12,NXTP Ventures,"NXTP Ventures, Roble Ventures",Seed,1600000.0,USD,1600000.0,,,,Yes,Teachy is a platform that doubles teachers time through artificial intelligence.,,https://www.teachy.com.br,,Seed,1,"Botafogo, Rio de Janeiro, Brazil, South America"
6306,Culttivo,https://www.crunchbase.com/organization/culttivo,Debt Financing - Culttivo,https://www.crunchbase.com/funding_round/culttivo-debt-financing--01c0cb22,76200000.0,BRL,15547191.0,Debt Financing,"AgTech, Credit, Finance, Financial Services",2023-07-11,,,,70000000.0,BRL,14423473.0,,,,No,Culttivo is a digital platform that offers credit products for coffee producers.,,https://culttivo.com,$1M to $10M,Seed,2,"São Paulo, Sao Paulo, Brazil, South America"
6307,Frota 162,https://www.crunchbase.com/organization/frota-162,Pre Seed Round - Frota 162,https://www.crunchbase.com/funding_round/frota-162-pre-seed--1a16b10a,5000000.0,BRL,1013572.0,Pre-Seed,"Fleet Management, Information Technology, Software",2023-07-10,,,Seed,2000000.0,BRL,408171.0,,,,Yes,"Frota 162 is a fleet management platform that manages infractions, fines, drivers, and vehicle debts.",,https://frota162.com.br/,$1M to $10M,Seed,2,"São Paulo, Sao Paulo, Brazil, South America"
6308,RADIX Forest Investments,https://www.crunchbase.com/organization/radix-investimentos-florestais,Grant - RADIX Forest Investments,https://www.crunchbase.com/funding_round/radix-investimentos-florestais-grant--541ec017,1300000.0,BRL,267017.0,Grant,"Agriculture, Farming, Forestry, Insurance",2023-07-08,Fundo Vale,Fundo Vale,,1300000.0,BRL,267017.0,,,,No,RADIX Forest Investments is an environmental and financial gains by investing in the planting of commercial forests.,,https://radixflorestal.com.br,,,2,"Brasilândia, Distrito Federal, Brazil, South America"
6309,Turbi,https://www.crunchbase.com/organization/turbi-car-on-demand,Debt Financing - Turbi,https://www.crunchbase.com/funding_round/turbi-car-on-demand-debt-financing--b4c1c338,112162229.0,USD,112162229.0,Debt Financing,"Automotive, Car Sharing, Mobile",2023-07-07,EXT Capital,"Banco Daycoval, EXT Capital, Jive Investments, Oliveira Trust, Solis Investimentos, TMF Group",,80000000.0,BRL,16419363.0,,,,No,"Turbi is a digital shared mobility company that makes car rental experience practical, cheaper and unique",,http://www.turbi.com.br,$1M to $10M,,8,"São Paulo, Sao Paulo, Brazil, South America"
6310,Tera,https://www.crunchbase.com/organization/tera-cd5a,Venture Round - Tera,https://www.crunchbase.com/funding_round/tera-cd5a-series-unknown--077bf841,10000000.0,BRL,2052420.0,Venture - Series Unknown,"E-Learning, Education, Information Technology",2023-07-07,X8 Investimentos,X8 Investimentos,,10000000.0,BRL,2052420.0,,,,Yes,Tera provides online training and coaching that develops skills for opportunities in the digital market.,,https://somostera.com,,,3,"São Paulo, Sao Paulo, Brazil, South America"
6311,Bipa,https://www.crunchbase.com/organization/bipa-fc72,Seed Round - Bipa,https://www.crunchbase.com/funding_round/bipa-fc72-seed--2b775fc3,8000000.0,BRL,1625950.0,Seed,"Bitcoin, Blockchain, Cryptocurrency, Transaction Processing",2023-07-06,,"Hivemind Ventures, New Form Capital",Seed,8000000.0,BRL,1625950.0,,,,Yes,Bipa is a company that allows customers to buy and sell Bitcoin starting from R$1 using Pix and Lightning Network.,,https://bipa.app/,$1M to $10M,Seed,1,"São Paulo, Sao Paulo, Brazil, South America"
6312,NG.CASH,https://www.crunchbase.com/organization/ng-cash,Seed Round - NG.CASH,https://www.crunchbase.com/funding_round/ng-cash-seed--a5d66d11,24258379.0,USD,24258379.0,Seed,"Banking, Consumer Applications, Financial Services, FinTech",2023-07-05,,"17Sigma, Mario Gabriele, monashees, Scale-Up Ventures, Web Summit Ventures",Seed,1649995.0,USD,1649995.0,,,,Yes,NG.CASH is a digital bank built for GenZ teenagers to teach them in making financial decisions with their cash.,,https://ng.cash,,Early Stage Venture,4,"Rio De Janeiro, Rio de Janeiro, Brazil, South America"
6313,SuperBAC,https://www.crunchbase.com/organization/superbac,Private Equity Round - SuperBAC,https://www.crunchbase.com/funding_round/superbac-private-equity--3d8c22f7,300000000.0,BRL,61969374.0,Private Equity,"Agriculture, Biotechnology, Sustainability, Water Purification",2023-07-04,XP Investimentos,XP Investimentos,Private Equity,300000000.0,BRL,61969374.0,,,,Yes,SuperBAC is a biotechnological company that offers agricultural solutions for nutritional balance for small and large plants and crops.,,http://www.superbac.com.br,,Private Equity,2,"São Paulo, Sao Paulo, Brazil, South America"
6314,Co.Urban,https://www.crunchbase.com/organization/co-urban,Pre Seed Round - Co.Urban,https://www.crunchbase.com/funding_round/co-urban-pre-seed--8b8d281c,150000.0,USD,150000.0,Pre-Seed,"Business Information Systems, Enterprise Software, Information and Communications Technology (ICT)",2023-07-01,,Antler,Seed,150000.0,USD,150000.0,,,,Yes,"Co.Urban is an online platform that allows businesses to plan, manage and optimize their field operations.",,https://www.courban.com.br/,,Seed,2,"São Paulo, Sao Paulo, Brazil, South America"
6315,CryptoHero,https://www.crunchbase.com/organization/cryptohero-31e8,Pre Seed Round - CryptoHero,https://www.crunchbase.com/funding_round/cryptohero-31e8-pre-seed--05bd8187,150000.0,USD,150000.0,Pre-Seed,"Apps, Blockchain, Cryptocurrency",2023-07-01,,Antler,Seed,150000.0,USD,150000.0,,,,Yes,CryptoHero is a mobile app that allows to build cryptocurrency investment portfolio with practicality and security.,,https://www.cryptohero.com.br/,,Seed,1,"Sumaré, Sao Paulo, Brazil, South America"
6316,More Than Real,https://www.crunchbase.com/organization/more-than-real,Pre Seed Round - More Than Real,https://www.crunchbase.com/funding_round/more-than-real-pre-seed--25438317,200000.0,USD,200000.0,Pre-Seed,"Augmented Reality, Generative AI, Retail Technology, SaaS",2023-07-01,,Niu Ventures,Seed,200000.0,USD,200000.0,,,,Yes,SaaS platform to increase conversion rates through Gen AI and Augmented Reality,,https://www.morethanreal.io,,Seed,1,"São Paulo, Sao Paulo, Brazil, South America"
6317,Inklo,https://www.crunchbase.com/organization/inklo-6b10,Pre Seed Round - Inklo,https://www.crunchbase.com/funding_round/inklo-6b10-pre-seed--21ce38b6,697310.0,USD,697310.0,Pre-Seed,"Financial Services, FinTech, Health Care",2023-07-01,,,Seed,415000.0,USD,415000.0,,,,Yes,Inklo is a fintech that offers financial services for medical procedures and services for healthcare institutions.,,https://inklo.com.br/,,Seed,2,"Minas Gerais, Acre, Brazil, South America"
6318,Pipeimob,https://www.crunchbase.com/organization/pipeimob,Pre Seed Round - Pipeimob,https://www.crunchbase.com/funding_round/pipeimob-pre-seed--95abe070,,USD,,Pre-Seed,"FinTech, Information Technology, Real Estate",2023-07-01,,Roberto Nascimento,Seed,,,,,,,Yes,"Real Estate Transactional Platform that brings security, transparency and speed to everyone involved in the transaction",,https://pipeimob.com,,Seed,1,"São Paulo, Sao Paulo, Brazil, South America"
6319,Compareemcasa,https://www.crunchbase.com/organization/comparaencasa-com,Convertible Note - Compareemcasa,https://www.crunchbase.com/funding_round/comparaencasa-com-convertible-note--7e7b1d22,9455800.0,USD,9455800.0,Convertible Note,"Auto Insurance, FinTech, Insurance, InsurTech, Marketplace, Personal Finance",2023-07-01,,,,835000.0,USD,835000.0,,,,No,"Compareemcasa is a cutting-edge digital insurance marketplace, AI-powered on a mission to democratise insurance in emerging markets.",,https://www.compareemcasa.com.br/,$1M to $10M,Early Stage Venture,5,"São Paulo, Sao Paulo, Brazil, South America"
6320,Torqi,https://www.crunchbase.com/organization/torqi,Venture Round - Torqi,https://www.crunchbase.com/funding_round/torqi-series-unknown--4d9bf4fa,60000000.0,BRL,12526619.0,Venture - Series Unknown,"Finance, Financial Services, FinTech",2023-06-30,Galapagos Capital,Galapagos Capital,,60000000.0,BRL,12526619.0,,,,Yes,Torqi provides financial services to Brazilian road transport carriers.,,https://torqi.com.br/,,,1,"São Paulo, Sao Paulo, Brazil, South America"
6321,Instituto Clima e Sociedade,https://www.crunchbase.com/organization/instituto-clima-e-sociedade,Grant - Instituto Clima e Sociedade,https://www.crunchbase.com/funding_round/instituto-clima-e-sociedade-grant--783cbb48,6000000.0,USD,6000000.0,Grant,Education,2023-06-30,Bezos Earth Fund,Bezos Earth Fund,,6000000.0,USD,6000000.0,,,,No,Instituto Clima e Sociedade is a Brazilian philanthropic organization that mobilizes resources and changes in the subject of climate change.,,https://www.climaesociedade.org,,,1,"Rio De Janeiro, Rio de Janeiro, Brazil, South America"
6322,Trígono Capital,https://www.crunchbase.com/organization/trígono-capital,Corporate Round - Trígono Capital,https://www.crunchbase.com/funding_round/trígono-capital-corporate-round--2933bf83,,USD,,Corporate Round,"Financial Services, Personal Finance, Wealth Management",2023-06-30,Banco do Brasil,Banco do Brasil,,,,,,,,Yes,Trígono Capital is a financial service company.,,https://trigonocapital.com,,,1,"Santo Antônio, Sao Paulo, Brazil, South America"
6323,Orizon Valorização de Residuos,https://www.crunchbase.com/organization/orizon-valorização-de-residuos,Post-IPO Debt - Orizon Valorização de Residuos,https://www.crunchbase.com/funding_round/orizon-valorização-de-residuos-post-ipo-debt--5ef2fb84,478000000.0,BRL,93814061.0,Post-IPO Debt,"CleanTech, Renewable Energy, Waste Management",2023-06-30,International Finance Corporation,International Finance Corporation,,130000000.0,BRL,27141007.0,,,,No,Orizon Valorização de Residuos is a waste treatment and recovery company.,,https://orizonvr.com.br/eng/,,IPO,2,"Rio De Janeiro, Rio de Janeiro, Brazil, South America"
6324,RiskMap,https://www.crunchbase.com/organization/riskmap-3c5d,Seed Round - RiskMap,https://www.crunchbase.com/funding_round/riskmap-3c5d-seed--6ae4aadf,250000.0,USD,250000.0,Seed,"Artificial Intelligence (AI), Image Recognition, Mapping Services, SaaS, Satellite Communication, Software",2023-06-30,,,Seed,200000.0,USD,200000.0,1000000.0,USD,1000000.0,Yes,Platform for identifying areas of potential risk through motivating people and satellite images. SaaS platforms for area monitoring.,,https://riskmap.com.br,,Seed,2,"Goiânia, Goias, Brazil, South America"
6325,TideSat Global,https://www.crunchbase.com/organization/tidesat-global,Grant - TideSat Global,https://www.crunchbase.com/funding_round/tidesat-global-grant--ec9a0239,116327.0,USD,116327.0,Grant,"Environmental Consulting, Internet of Things, Remote Sensing, SaaS, Water",2023-06-29,Prefeitura Municipal de Porto Alegre,Prefeitura Municipal de Porto Alegre,,39000.0,BRL,8029.0,,,,No,"TideSat offers an innovative and complete system to monitor water level, including hardware and software.",,https://www.tidesatglobal.com/,,,4,"Porto Alegre, Rio Grande do Sul, Brazil, South America"
6326,Vamos,https://www.crunchbase.com/organization/vamos-6660,Corporate Round - Vamos,https://www.crunchbase.com/funding_round/vamos-6660-corporate-round--976ba6af,260000000.0,BRL,53529884.0,Corporate Round,"Facilities Support Services, Fleet Management, Transportation",2023-06-29,Simpar,Simpar,,260000000.0,BRL,53529884.0,1040.0,BRL,214.0,Yes,"Vamos are into leasing of trucks, machinery and equipment.",,http://www.grupovamos.com.br,$1B to $10B,,1,"São Paulo, Sao Paulo, Brazil, South America"
6327,The Brazilian Development Bank(BNDES),https://www.crunchbase.com/organization/bndes,Debt Financing - The Brazilian Development Bank(BNDES),https://www.crunchbase.com/funding_round/bndes-debt-financing--f50379a3,750000000.0,USD,750000000.0,Debt Financing,"Banking, Financial Services",2023-06-29,Inter American Development Bank,Inter American Development Bank,,750000000.0,USD,750000000.0,,,,No,BNDES is the main financing agent for development in Brazil,,http://www.bndes.gov.br/SiteBNDES/bndes/bndes_en/,$1B to $10B,,1,"Rio De Janeiro, Rio de Janeiro, Brazil, South America"
6328,SuaQuadra,https://www.crunchbase.com/organization/quadra-35fd,Seed Round - SuaQuadra,https://www.crunchbase.com/funding_round/quadra-35fd-seed--0332c7a4,21000000.0,BRL,4364090.0,Seed,"Commercial Real Estate, Marketplace, Real Estate Investment",2023-06-27,Kaszek,"Canary Ventures, Caravela Capital, Cyrela Brazil Realty, Kaszek, ONEVC",Seed,21000000.0,BRL,4364089.0,,,,Yes,"We are a B2B marketplace connecting entrepreneurs, property owners and brokers to create a unique commercial rental experience",,https://www.suaquadra.com.br,,Seed,2,"São Paulo, Sao Paulo, Brazil, South America"
6329,Agrosure,https://www.crunchbase.com/organization/agrosure,Grant - Agrosure,https://www.crunchbase.com/funding_round/agrosure-grant--345790c4,5000.0,USD,5000.0,Grant,"Agriculture, Farming",2023-06-27,Youth Co:Lab,Youth Co:Lab,,5000.0,USD,5000.0,,,,No,Agrosure assists and trains rural producers to obtain the greatest Precision Agriculture results.,,https://agrosure.com.br,,,1,"Ribeirão, Sao Paulo, Brazil, South America"
6330,We Rock It Education Platform,https://www.crunchbase.com/organization/we-rock-it-education-platform,Non Equity Assistance - We Rock It Education Platform,https://www.crunchbase.com/funding_round/we-rock-it-education-platform-non-equity-assistance--a94057b7,42500.0,BRL,8832.0,Non-equity Assistance,"EdTech, Education, Software",2023-06-27,,ADESAMPA - Agencia de Desenvolvimento de São Paulo,,42500.0,BRL,8832.0,,,,No,"Saas AI-driven education platform elevating human skills. Perfect for creators, educators, consultants, and corporate trainers worldwide",,https://werockit.com.br,,,1,"São Paulo, Sao Paulo, Brazil, South America"
6331,Iguá Saneamento,https://www.crunchbase.com/organization/iguá-saneamento,Debt Financing - Iguá Saneamento,https://www.crunchbase.com/funding_round/iguá-saneamento-debt-financing--4049491e,903846167.0,USD,903846167.0,Debt Financing,"Environmental Consulting, Water",2023-06-26,,"The Brazilian Development Bank(BNDES), XP Investimentos",,3800000000.0,BRL,796846166.0,,,,No,Iguá Saneamento is a Brazilian water and sewage services company.,,https://www.igua.com.br,,Private Equity,2,"São Paulo, Sao Paulo, Brazil, South America"
6332,Motrix Techknowledge,https://www.crunchbase.com/organization/motrix-techknowledge,Seed Round - Motrix Techknowledge,https://www.crunchbase.com/funding_round/motrix-techknowledge-seed--c71b2b5c,14000000.0,BRL,2935749.0,Seed,"E-Learning, EdTech, Education",2023-06-26,Ágathos Group,Ágathos Group,Seed,14000000.0,BRL,2935749.0,,,,Yes,Improving education trough pedagogical interoperability.,,http://motrix.global,,Seed,1,"Rio De Janeiro, Rio de Janeiro, Brazil, South America"
6333,Localiza,https://www.crunchbase.com/organization/localiza-hertz,Post-IPO Equity - Localiza,https://www.crunchbase.com/funding_round/localiza-hertz-post-ipo-equity--8939842e,4500000000.0,BRL,943633619.0,Post-IPO Equity,"Automotive, Rental, Tourism, Transportation",2023-06-26,,,,4500000000.0,BRL,943633618.0,,,,Yes,Localiza provides car rentals services.,,https://www.localiza.com/brasil/pt-br,$1B to $10B,IPO,1,"Belo Horizonte, Minas Gerais, Brazil, South America"
6334,Solusolo,https://www.crunchbase.com/organization/solusolo,Pre Seed Round - Solusolo,https://www.crunchbase.com/funding_round/solusolo-pre-seed--f0e96016,2800000.0,BRL,584918.0,Pre-Seed,"AgTech, Biotechnology, Chemical, Chemical Engineering",2023-06-25,VENTIUR,VENTIUR,Seed,1400000.0,BRL,292458.0,,,,Yes,Solusolo is a manufacturer of a Japanese biotechnology product that helps restore soil health.,,https://solusolo.com.br/,,Seed,2,"Varginha, Minas Gerais, Brazil, South America"
6335,Solusolo,https://www.crunchbase.com/organization/solusolo,Pre Seed Round - Solusolo,https://www.crunchbase.com/funding_round/solusolo-pre-seed--ce8fe855,2800000.0,BRL,584918.0,Pre-Seed,"AgTech, Biotechnology, Chemical, Chemical Engineering",2023-06-25,Ventiur,Ventiur,Seed,1400000.0,BRL,292458.0,,,,Yes,Solusolo is a manufacturer of a Japanese biotechnology product that helps restore soil health.,,https://solusolo.com.br/,,Seed,2,"Varginha, Minas Gerais, Brazil, South America"
6336,uBits Capital,https://www.crunchbase.com/organization/ubits-capital,Pre Seed Round - uBits Capital,https://www.crunchbase.com/funding_round/ubits-capital-pre-seed--f9bac6dd,1086323.0,USD,1086323.0,Pre-Seed,"Finance, Financial Services, FinTech, Information Technology, Software",2023-06-25,,,Seed,1000000.0,USD,1000000.0,,,,Yes,"Blockchain fundraising platform that allows any investor access to the best assets anywhere in the world, from US$10.",,https://www.ubitscapital.com,,Seed,2,"Indaiatuba, Sao Paulo, Brazil, South America"
6337,VIPe,https://www.crunchbase.com/organization/vipe-2064,Series A - VIPe,https://www.crunchbase.com/funding_round/vipe-2064-series-a--3dddb6f8,110000000.0,BRL,22998037.0,Series A,"Consumer Lending, Credit, Financial Services, FinTech, Human Resources",2023-06-23,Airborne Ventures,Airborne Ventures,Early Stage Venture,110000000.0,BRL,22998036.0,,,,Yes,"We are building the future of financial health, starting with the ones who need it the most. We give the attention every person deserves",,https://www.somosvipe.com.br,,Early Stage Venture,1,"São Paulo, Sao Paulo, Brazil, South America"
6338,Doutor Ao Vivo,https://www.crunchbase.com/organization/doutor-ao-vivo,Venture Round - Doutor Ao Vivo,https://www.crunchbase.com/funding_round/doutor-ao-vivo-series-unknown--c820f2f4,100000.0,USD,100000.0,Venture - Series Unknown,"Health Care, Medical, Telehealth",2023-06-23,,Bossanova Investimentos,,,,,,,,Yes,Doutor Ao Vivo is a health tech software company.,,https://www.doutoraovivo.com.br,$1M to $10M,,2,"Barueri, Sao Paulo, Brazil, South America"
6339,Tarvos,https://www.crunchbase.com/organization/iagro,Seed Round - Tarvos,https://www.crunchbase.com/funding_round/iagro-seed--458c037a,8764143.0,BRL,1822915.0,Seed,"Agriculture, AgTech, Farming, Internet of Things, Software",2023-06-22,FUNDEPAR,"ACE Ventures, Bossanova Investimentos, FUNDEPAR, Global Agri-Food Advancement Partnership, Gvangels",Seed,5000000.0,BRL,1047474.0,,,,Yes,Tarvos is an automated insect monitoring platform with real-time insights from smart traps.,,https://tarvos.ag,$1M to $10M,Seed,9,"Brasil, Sao Paulo, Brazil, South America"
6340,Cosan S.A.,https://www.crunchbase.com/organization/cosan-s-a,Post-IPO Debt - Cosan S.A.,https://www.crunchbase.com/funding_round/cosan-s-a-post-ipo-debt--8a0ded97,395000000.0,USD,395000000.0,Post-IPO Debt,"Infrastructure, Logistics, Transportation",2023-06-22,,,,250000000.0,USD,250000000.0,,,,No,Cosan Lubrificantes e Especialidades produces and distributes the most advanced automotive.,,http://www.cosan.com.br,$1B to $10B,IPO,2,"São Paulo, Sao Paulo, Brazil, South America"
6341,ASAAS,https://www.crunchbase.com/organization/asaas,Series B - ASAAS,https://www.crunchbase.com/funding_round/asaas-series-b--db6170f8,32634057.0,USD,32634057.0,Series B,"Billing, FinTech, Information Technology, Payments, Software",2023-06-21,,"Bradesco BBI, Escala Partners, Light Capital Group, Parallax Ventures, TM3 Capital",Early Stage Venture,100000000.0,BRL,20991645.0,,,,Yes,Asaas helps individuals and companies automate financial processes and improve their relationship with customers.,,https://www.asaas.com,$100M to $500M,Early Stage Venture,10,"Joinville, Santa Catarina, Brazil, South America"
6342,Skedway,https://www.crunchbase.com/organization/skedway,Seed Round - Skedway,https://www.crunchbase.com/funding_round/skedway-seed--6312636b,1405000.0,BRL,257387.0,Seed,Software,2023-06-21,,"Edward Lando, Jon Oringer, Nadav Ben-Chanoch, Pareto Holdings",Seed,,,,10000000.0,USD,10000000.0,Yes,Every work experience should be great! Skedway is the complete platform to optimize the hybrid work experience.,,https://skedway.com,$1M to $10M,Seed,2,"São Paulo, Sao Paulo, Brazil, South America"
6343,ATLAS Florestal,https://www.crunchbase.com/organization/atlas-florestal,Non Equity Assistance - ATLAS Florestal,https://www.crunchbase.com/funding_round/atlas-florestal-non-equity-assistance--b76084ba,,USD,,Non-equity Assistance,"Education, Forestry, Training",2023-06-20,Village Capital,Village Capital,,,,,,,,No,ATLAS Florestal is a multidisciplinary technical council capable of producing regenerative and personalized actions.,,https://atlasflorestal.com.br,,,1,"Brasil, Sao Paulo, Brazil, South America"
6344,PlantVerd Forest Services,https://www.crunchbase.com/organization/plantverd-forest-services,Non Equity Assistance - PlantVerd Forest Services,https://www.crunchbase.com/funding_round/plantverd-forest-services-non-equity-assistance--697000c9,,USD,,Non-equity Assistance,"Environmental Consulting, Forestry, Sustainability",2023-06-20,Village Capital,Village Capital,,,,,,,,No,PlantVerd Forest Services focuses its operations on a critical segment of the economy: environmental services for the restoration.,,https://plantverd.com.br,,,1,"Indaiatuba, Sao Paulo, Brazil, South America"
6345,Nucleário,https://www.crunchbase.com/organization/nucleário,Non Equity Assistance - Nucleário,https://www.crunchbase.com/funding_round/nucleário-non-equity-assistance--a60f79bf,,USD,,Non-equity Assistance,"Industrial Design, Manufacturing, Renewable Energy, Semiconductor",2023-06-20,Village Capital,Village Capital,,,,,,,,No,Nucleário enhances the tree planting and monitoring process with solutions that optimize seedling growth while requiring less field upkeep.,,https://www.nucleario.com,,,1,"Rio De Janeiro, Rio de Janeiro, Brazil, South America"
6346,Studywise,https://www.crunchbase.com/organization/studywise-7a11,Pre Seed Round - Studywise,https://www.crunchbase.com/funding_round/studywise-7a11-pre-seed--0a214ae9,150000.0,USD,150000.0,Pre-Seed,"Education, Software",2023-06-15,Antler,Antler,Seed,150000.0,USD,150000.0,1500000.0,USD,1500000.0,Yes,We are a learning platform that connects software developers so that they can co-create digital products.,,https://studywise.com.br,,Seed,1,"São Paulo, Sao Paulo, Brazil, South America"
6347,Cayena,https://www.crunchbase.com/organization/poupachef,Series A - Cayena,https://www.crunchbase.com/funding_round/poupachef-series-a--ff6cc0a5,34000000.0,USD,34000000.0,Series A,"B2B, E-Commerce, Food and Beverage, Information Services, Marketplace",2023-06-15,,"14W, Astella, FEMSA Ventures, FJ Labs, Globo Ventures, Grão, Lupa Capital, Picus Capital, Vine Ventures",Early Stage Venture,13000000.0,USD,13000000.0,,,,Yes,Cayena is a B2B marketplace for restaurants to procure inventory from multiple suppliers with a comprehensive suite of add-on services.,,https://www.cayena.com,$1M to $10M,Early Stage Venture,4,"São Paulo, Sao Paulo, Brazil, South America"
6348,Devpass,https://www.crunchbase.com/organization/devpass,Pre Seed Round - Devpass,https://www.crunchbase.com/funding_round/devpass-pre-seed--a04cda6c,350000.0,USD,350000.0,Pre-Seed,"Artificial Intelligence (AI), Education, Information Technology, Software",2023-06-15,,"B Venture Capital, Juliano Dutra, Techstars",Seed,350000.0,USD,350000.0,,,,Yes,Revolutionize Developer Training with Devpass AI Experience,,https://devpass.com,Less than $1M,Seed,1,"São Paulo, Sao Paulo, Brazil, South America"
6349,Slice,https://www.crunchbase.com/organization/slice-7bf9,Pre Seed Round - Slice,https://www.crunchbase.com/funding_round/slice-7bf9-pre-seed--481f0c18,175000.0,USD,175000.0,Pre-Seed,"Financial Services, Information Technology, Payments, Software",2023-06-15,Antler,Antler,Seed,175000.0,USD,175000.0,,,,Yes,"Slice offers payment plans and accepts payments, loan payment terms, and other services may incur transactional or financing fees.",,https://www.slicepayments.co,,Seed,1,"São Paulo, Sao Paulo, Brazil, South America"
6350,Movens,https://www.crunchbase.com/organization/movens-intellicence-capital,Pre Seed Round - Movens,https://www.crunchbase.com/funding_round/movens-intellicence-capital-pre-seed--68c457bb,4200000.0,BRL,873036.0,Pre-Seed,"Application Performance Management, Business Intelligence, Data Visualization, E-Commerce, Financial Services, FinTech, Funding Platform, Lending",2023-06-15,Astella,"Angels, Astella",Seed,4200000.0,BRL,873035.0,,,,Yes,Movens is a powerful solution to solve working capital problems of SMB e-commerce using capital and data intelligence for it.,,https://movens.com.br,,Seed,1,"Curitiba, Parana, Brazil, South America"
6351,Kanastra,https://www.crunchbase.com/organization/kanastra,Seed Round - Kanastra,https://www.crunchbase.com/funding_round/kanastra-seed--1feb9e56,33797096.0,USD,33797096.0,Seed,"Asset Management, Banking, Financial Services",2023-06-14,"Quona Capital, Valor Capital Group","Actyus, Clocktower Technology Ventures, Collaborative Fund, Crestone Venture Capital, Endeavor, Latitud, Norte, QED Investors, Quona Capital, Valor Capital Group",Seed,13000000.0,USD,13000000.0,,,,Yes,Tech-driven backoffice for alternative investments,,https://kanastra.com.br/,$1M to $10M,Early Stage Venture,4,"Uberlândia, Minas Gerais, Brazil, South America"
6352,Real Fluency,https://www.crunchbase.com/organization/real-fluency,Series A - Real Fluency,https://www.crunchbase.com/funding_round/real-fluency-series-a--c60bb6c7,115000.0,USD,115000.0,Series A,Artificial Intelligence (AI),2023-06-14,,,Early Stage Venture,115000.0,USD,115000.0,,,,Yes,Creating knowledge with AI!,,https://www.realfluency.com,,Early Stage Venture,1,"Pará, Para, Brazil, South America"
6353,Exato Digital,https://www.crunchbase.com/organization/direct-digital-tecnologia,Seed Round - Exato Digital,https://www.crunchbase.com/funding_round/direct-digital-tecnologia-seed--f81e97e1,3820000.0,USD,3820000.0,Seed,"Fraud Detection, Identity Management, Information Technology, Risk Management, Security",2023-06-13,Bradesco BBI,Bradesco BBI,Seed,3470000.0,USD,3470000.0,,,,Yes,"Exato is a quick, affordable, and thorough background check platform that can be used by corporations, startups, and micro-entrepreneurs.",,https://exato.digital/,$1M to $10M,Seed,2,"São Paulo, Sao Paulo, Brazil, South America"
6354,EqSeed,https://www.crunchbase.com/organization/eqseed,Seed Round - EqSeed,https://www.crunchbase.com/funding_round/eqseed-seed--3fc8adf4,15000000.0,BRL,3170077.0,Seed,"Financial Services, Internet",2023-06-12,EqSeed,EqSeed,Seed,7500000.0,BRL,1542480.0,,,,Yes,EqSeed connects investors with the best startups and expanding companies to make investment rounds of up to $ 5 million.,,https://eqseed.com,Less than $1M,Seed,3,"Rio De Janeiro, Rio de Janeiro, Brazil, South America"
6355,Niiw Tecnologia e Inteligência de Negócios Ltda,https://www.crunchbase.com/organization/niiw-tecnologia-e-inteligência-de-negócios-ltda,Pre Seed Round - Niiw Tecnologia e Inteligência de Negócios Ltda,https://www.crunchbase.com/funding_round/niiw-tecnologia-e-inteligência-de-negócios-ltda-pre-seed--826a4196,850000.0,BRL,174202.0,Pre-Seed,"Artificial Intelligence (AI), Big Data, Developer APIs, FinTech, Machine Learning, Mobile Apps, Retail Technology, SaaS, Smart Cities, Software",2023-06-11,"André Sodre, João Victor","Andre Pinheiro, André Sodre, Antonio Romero, Brunno Galvão, Carlos Fernando, Dorival Dourado Junior, Fatima Cavichione, Ismael Silva, João Victor, Lilian Silva, Micael Duarte, Octavius Azevedo, Raul Storino, Saulo Lopes",Seed,850000.0,BRL,174201.0,30000000.0,BRL,6148296.0,Yes,"Serviço de Coleta, Categorização e Análise de Dados de Consumo através de Big Data via SaaS para Plataformas Digitais.",,https://linkme.bio/niiwopendata,,Seed,1,"Florianópolis, Santa Catarina, Brazil, South America"
